Province_State,Population,date,cumulative_doses,region,daily_doses,doses_per_100,daily_doses_per_100k,daily_doses_7day_avg
District of Columbia,705749,2023-03-09,2101913,South,0,297.82727286896613,0,0
Vermont,623989,2023-03-09,1745559,Northeast,0,279.74195057925704,0,0
Massachusetts,6892503,2023-03-09,18039745,Northeast,0,261.72995499602973,0,0
Maine,1344212,2023-03-09,3509403,Northeast,0,261.0751131517945,0,0
Connecticut,3565287,2023-03-09,8989907,Northeast,0,252.15100495415936,0,0
Rhode Island,1059361,2023-03-09,2650470,Northeast,0,250.19516482105723,0,0
Hawaii,1415872,2023-03-09,3492463,West,0,246.66516464765178,0,0
Maryland,6045680,2023-03-09,14612555,South,0,241.70242222545687,0,0
New York,19453561,2023-03-09,44921412,Northeast,0,230.9161392096799,0,0
Washington,7614893,2023-03-09,17550630,West,0,230.47769679757812,0,0
Virginia,8535519,2023-03-09,19466660,South,0,228.06650655923795,0,0
Minnesota,5639632,2023-03-09,12716898,North Central,0,225.4916278225246,0,0
New Mexico,2096829,2023-03-09,4710051,West,0,224.62733012563257,0,0
Colorado,5758736,2023-03-09,12922452,West,0,224.39736775570194,0,0
California,39512223,2023-03-09,87849577,West,0,222.33519232770072,0,0
New Jersey,8882190,2023-03-09,19729328,Northeast,0,222.12233694618106,0,0
Delaware,973764,2023-03-09,2159173,South,0,221.7347324403038,0,0
Oregon,4217737,2023-03-09,9307270,West,0,220.66975726556683,0,0
New Hampshire,1359711,2023-03-09,2959206,Northeast,0,217.63492389191526,0,0
Pennsylvania,12801989,2023-03-09,27325582,Northeast,0,213.4479415659551,0,0
Wisconsin,5822434,2023-03-09,12354746,North Central,0,212.19211759205857,0,0
Illinois,12671821,2023-03-09,26720097,North Central,0,210.86232988928742,0,0
Arizona,7278717,2023-03-09,14526275,West,0,199.57191631437243,0,0
Nebraska,1934408,2023-03-09,3792085,North Central,0,196.0333600770882,0,0
Florida,21477737,2023-03-09,41968855,South,0,195.40631771401243,0,0
Iowa,3155070,2023-03-09,6093676,North Central,0,193.1391696539221,0,0
Utah,3205958,2023-03-09,6123446,West,0,191.00206552924274,0,0
South Dakota,884659,2023-03-09,1678911,North Central,0,189.7805821226032,0,0
Michigan,9986857,2023-03-09,18584227,North Central,0,186.08684393898903,0,0
North Carolina,10488084,2023-03-09,19425659,South,0,185.2164704249127,0,0
Kansas,2913314,2023-03-09,5351180,North Central,0,183.6801662985864,0,0
Nevada,3080156,2023-03-09,5558573,West,0,180.46400896577964,0,0
Alaska,731545,2023-03-09,1318755,West,0,180.2698398594755,0,0
Texas,28995881,2023-03-09,52081992,South,0,179.6185878952945,0,0
Ohio,11689100,2023-03-09,20964560,North Central,0,179.35136152483938,0,0
Montana,1068778,2023-03-09,1860520,West,0,174.07918201909095,0,0
West Virginia,1792147,2023-03-09,3087899,South,0,172.30165829030767,0,0
North Dakota,762062,2023-03-09,1306066,North Central,0,171.38579275701977,0,0
Oklahoma,3956971,2023-03-09,6736536,South,0,170.24476550371483,0,0
Missouri,6137428,2023-03-09,10448550,North Central,0,170.24313767917113,0,0
South Carolina,5148714,2023-03-09,8622561,South,0,167.47018770123958,0,0
Kentucky,4467673,2023-03-09,7474765,South,0,167.30779087905495,0,0
Indiana,6732219,2023-03-09,11130051,North Central,0,165.32514762220302,0,0
Tennessee,6829174,2023-03-09,11253340,South,0,164.78332518691133,0,0
Arkansas,3017804,2023-03-09,4850072,South,0,160.71527508082036,0,0
Idaho,1787065,2023-03-09,2871087,West,0,160.65934926821353,0,0
Georgia,10617423,2023-03-09,17016706,South,0,160.2715272811491,0,0
Louisiana,4648794,2023-03-09,6930963,South,0,149.09163537898215,0,0
Wyoming,578759,2023-03-09,849605,West,0,146.79771718452758,0,0
Mississippi,2976149,2023-03-09,4288801,South,0,144.1057218573398,0,0
Alabama,4903185,2023-03-09,6988067,South,0,142.5209736120501,0,0
