date,cumulative_doses,daily_doses,population,doses_per_100,daily_doses_7day_avg
2020-12-14,0,0,328239523,0,NA
2020-12-15,475,475,328239523,1.4471139723170996e-4,NA
2020-12-16,11973,11498,328239523,0.0036476411769584497,NA
2020-12-17,47824,35851,328239523,0.014569848128861678,NA
2020-12-18,113459,65635,328239523,0.0345659166705528,NA
2020-12-19,227682,114223,328239523,0.06936459019896882,NA
2020-12-20,404916,177234,328239523,0.12335991604521068,57845.142857142855
2020-12-21,596142,191226,328239523,0.18161798267053902,85163.14285714286
2020-12-22,739226,143084,328239523,0.22520932069475375,105535.85714285714
2020-12-23,926010,186784,328239523,0.2821141072642858,130576.71428571429
2020-12-24,1260600,334590,328239523,0.38404881547430225,173253.7142857143
2020-12-25,1586064,325464,328239523,0.4832032369240312,210372.14285714287
2020-12-26,1896946,310882,328239523,0.5779151708065333,238466.2857142857
2020-12-27,2050506,153560,328239523,0.6246980806147466,235084.2857142857
2020-12-28,2111606,61100,328239523,0.6433125361323413,216494.85714285713
2020-12-29,2259342,147736,328239523,0.6883211318827075,217159.42857142858
2020-12-30,2557995,298653,328239523,0.7793074327615325,233140.7142857143
2020-12-31,2968073,410078,328239523,0.9042399808751855,243924.7142857143
2021-01-01,3514022,545949,328239523,1.070566386364143,275422.5714285714
2021-01-02,3913744,399722,328239523,1.1923439213625715,288114
2021-01-03,4186914,273170,328239523,1.2755666842715951,305201.14285714284
2021-01-04,4370977,184063,328239523,1.3316425030266694,322767.28571428574
2021-01-05,4602373,231396,328239523,1.4021385840242035,334718.71428571426
2021-01-06,4919362,316989,328239523,1.4987110494917457,337338.14285714284
2021-01-07,5486117,566755,328239523,1.6713761188350253,359720.5714285714
2021-01-08,6171802,685685,328239523,1.8802738754893937,379682.85714285716
2021-01-09,6998096,826294,328239523,2.1320089476245063,440621.71428571426
2021-01-10,7762966,764870,328239523,2.365030855836334,510864.5714285714
2021-01-11,8424323,661357,328239523,2.566516951707854,579049.4285714285
2021-01-12,8833980,536452,328239523,2.6913212398252235,622628.8571428572
2021-01-13,9322492,488512,328239523,2.840149143160923,647132.1428571428
2021-01-14,10284500,962008,328239523,3.1332302417463604,703596.8571428572
2021-01-15,11267115,1028659,328239523,3.432589377727069,752593.1428571428
2021-01-16,12133928,866813,328239523,3.6966687890294065,758381.5714285715
2021-01-17,13209969,1076041,328239523,4.024490676584367,802834.5714285715
2021-01-18,14011140,801171,328239523,4.268571886756002,822808
2021-01-19,14534703,523563,328239523,4.4280782725851084,820966.7142857143
2021-01-20,15137650,602947,328239523,4.611769436430725,837314.5714285715
