state,region,population,latest_date,cumulative_doses,doses_per_100
District of Columbia,South,705749,2023-03-09,2101913,297.8
Vermont,Northeast,623989,2023-03-09,1745559,279.7
Massachusetts,Northeast,6892503,2023-03-09,18039745,261.7
Maine,Northeast,1344212,2023-03-09,3509403,261.1
Connecticut,Northeast,3565287,2023-03-09,8989907,252.2
Rhode Island,Northeast,1059361,2023-03-09,2650470,250.2
Hawaii,West,1415872,2023-03-09,3492463,246.7
Maryland,South,6045680,2023-03-09,14612555,241.7
New York,Northeast,19453561,2023-03-09,44921412,230.9
Washington,West,7614893,2023-03-09,17550630,230.5
Virginia,South,8535519,2023-03-09,19466660,228.1
Minnesota,North Central,5639632,2023-03-09,12716898,225.5
New Mexico,West,2096829,2023-03-09,4710051,224.6
Colorado,West,5758736,2023-03-09,12922452,224.4
California,West,39512223,2023-03-09,87849577,222.3
New Jersey,Northeast,8882190,2023-03-09,19729328,222.1
Delaware,South,973764,2023-03-09,2159173,221.7
Oregon,West,4217737,2023-03-09,9307270,220.7
New Hampshire,Northeast,1359711,2023-03-09,2959206,217.6
Pennsylvania,Northeast,12801989,2023-03-09,27325582,213.4
Wisconsin,North Central,5822434,2023-03-09,12354746,212.2
Illinois,North Central,12671821,2023-03-09,26720097,210.9
Arizona,West,7278717,2023-03-09,14526275,199.6
Nebraska,North Central,1934408,2023-03-09,3792085,196
Florida,South,21477737,2023-03-09,41968855,195.4
Iowa,North Central,3155070,2023-03-09,6093676,193.1
Utah,West,3205958,2023-03-09,6123446,191
South Dakota,North Central,884659,2023-03-09,1678911,189.8
Michigan,North Central,9986857,2023-03-09,18584227,186.1
North Carolina,South,10488084,2023-03-09,19425659,185.2
Kansas,North Central,2913314,2023-03-09,5351180,183.7
Nevada,West,3080156,2023-03-09,5558573,180.5
Alaska,West,731545,2023-03-09,1318755,180.3
Texas,South,28995881,2023-03-09,52081992,179.6
Ohio,North Central,11689100,2023-03-09,20964560,179.4
Montana,West,1068778,2023-03-09,1860520,174.1
West Virginia,South,1792147,2023-03-09,3087899,172.3
North Dakota,North Central,762062,2023-03-09,1306066,171.4
Oklahoma,South,3956971,2023-03-09,6736536,170.2
Missouri,North Central,6137428,2023-03-09,10448550,170.2
South Carolina,South,5148714,2023-03-09,8622561,167.5
Kentucky,South,4467673,2023-03-09,7474765,167.3
Indiana,North Central,6732219,2023-03-09,11130051,165.3
Tennessee,South,6829174,2023-03-09,11253340,164.8
Arkansas,South,3017804,2023-03-09,4850072,160.7
Idaho,West,1787065,2023-03-09,2871087,160.7
Georgia,South,10617423,2023-03-09,17016706,160.3
Louisiana,South,4648794,2023-03-09,6930963,149.1
Wyoming,West,578759,2023-03-09,849605,146.8
Mississippi,South,2976149,2023-03-09,4288801,144.1
Alabama,South,4903185,2023-03-09,6988067,142.5
