region,quarter,total_daily_doses,population,doses_per_100
North Central,2020 Q4,568973,68329004,0.8
North Central,2021 Q1,30233074,68329004,44.2
North Central,2021 Q2,33497022,68329004,49
North Central,2021 Q3,10598251,68329004,15.5
North Central,2021 Q4,23895744,68329004,35
North Central,2022 Q1,10031177,68329004,14.7
North Central,2022 Q2,7072458,68329004,10.4
North Central,2022 Q3,5190878,68329004,7.6
North Central,2022 Q4,9811980,68329004,14.4
North Central,2023 Q1,1617335,68329004,2.4
Northeast,2020 Q4,520415,55982803,0.9
Northeast,2021 Q1,26377288,55982803,47.1
Northeast,2021 Q2,37407887,55982803,66.8
Northeast,2021 Q3,10419567,55982803,18.6
Northeast,2021 Q4,24012676,55982803,42.9
Northeast,2022 Q1,11394311,55982803,20.4
Northeast,2022 Q2,6781264,55982803,12.1
Northeast,2022 Q3,4333439,55982803,7.7
Northeast,2022 Q4,9427710,55982803,16.8
Northeast,2023 Q1,1679877,55982803,3
South,2020 Q4,1251101,125580448,1
South,2021 Q1,51149837,125580448,40.7
South,2021 Q2,58433247,125580448,46.5
South,2021 Q3,28898195,125580448,23
South,2021 Q4,39808496,125580448,31.7
South,2022 Q1,17739542,125580448,14.1
South,2022 Q2,11341487,125580448,9
South,2022 Q3,7878314,125580448,6.3
South,2022 Q4,12684133,125580448,10.1
South,2023 Q1,2690754,125580448,2.1
West,2020 Q4,627584,78347268,0.8
West,2021 Q1,35253373,78347268,45
West,2021 Q2,45627494,78347268,58.2
West,2021 Q3,15400825,78347268,19.7
West,2021 Q4,28779120,78347268,36.7
West,2022 Q1,15616308,78347268,19.9
West,2022 Q2,9559620,78347268,12.2
West,2022 Q3,6667239,78347268,8.5
West,2022 Q4,11705445,78347268,14.9
West,2023 Q1,2348238,78347268,3
